"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"郭俊辰","10K+","November 5, 2025 at 9:50:00 AM UTC+8","November 10, 2025 at 8:30:00 AM UTC+8","郭俊辰","https://trends.google.com/trends/explore?q=%E9%83%AD%E4%BF%8A%E8%BE%B0&geo=TW&hl=en-US"
"薛劍","2K+","November 9, 2025 at 10:30:00 PM UTC+8","November 12, 2025 at 12:40:00 AM UTC+8","薛劍","https://trends.google.com/trends/explore?q=%E8%96%9B%E5%8A%8D&geo=TW&hl=en-US"
"小野田紀美","1K+","November 11, 2025 at 5:30:00 PM UTC+8","November 12, 2025 at 2:20:00 AM UTC+8","小野田紀美","https://trends.google.com/trends/explore?q=%E5%B0%8F%E9%87%8E%E7%94%B0%E7%B4%80%E7%BE%8E&geo=TW&hl=en-US"
"炫雅","5K+","November 9, 2025 at 9:10:00 PM UTC+8","November 11, 2025 at 9:00:00 AM UTC+8","炫雅","https://trends.google.com/trends/explore?q=%E7%82%AB%E9%9B%85&geo=TW&hl=en-US"
"仲代達矢","1K+","November 11, 2025 at 12:20:00 PM UTC+8","November 12, 2025 at 12:10:00 AM UTC+8","仲代達矢","https://trends.google.com/trends/explore?q=%E4%BB%B2%E4%BB%A3%E9%81%94%E7%9F%A2&geo=TW&hl=en-US"
"thời tiết ngày mai","2K+","November 11, 2025 at 8:30:00 PM UTC+8","November 11, 2025 at 11:00:00 PM UTC+8","thời tiết ngày mai,thời tiết","https://trends.google.com/trends/explore?q=th%E1%BB%9Di%20ti%E1%BA%BFt%20ng%C3%A0y%20mai&geo=TW&hl=en-US"
"高醫","2K+","November 11, 2025 at 7:40:00 PM UTC+8","November 11, 2025 at 10:50:00 PM UTC+8","高醫,奇美醫院,成大醫院,高雄長庚,長庚","https://trends.google.com/trends/explore?q=%E9%AB%98%E9%86%AB&geo=TW&hl=en-US"
"快艇 對 老鷹","2K+","November 11, 2025 at 11:20:00 AM UTC+8","November 11, 2025 at 6:10:00 PM UTC+8","快艇 對 老鷹","https://trends.google.com/trends/explore?q=%E5%BF%AB%E8%89%87%20%E5%B0%8D%20%E8%80%81%E9%B7%B9&geo=TW&hl=en-US"
"新竹市長","2K+","November 11, 2025 at 7:30:00 PM UTC+8","November 11, 2025 at 10:40:00 PM UTC+8","新竹市長","https://trends.google.com/trends/explore?q=%E6%96%B0%E7%AB%B9%E5%B8%82%E9%95%B7&geo=TW&hl=en-US"
"古久保健二","10K+","November 9, 2025 at 7:30:00 PM UTC+8","November 10, 2025 at 11:00:00 PM UTC+8","古久保健二,平石洋介,林立,古久保,林智平,0","https://trends.google.com/trends/explore?q=%E5%8F%A4%E4%B9%85%E4%BF%9D%E5%81%A5%E4%BA%8C&geo=TW&hl=en-US"
"黃仁勳","20K+","November 7, 2025 at 11:10:00 AM UTC+8","November 9, 2025 at 5:50:00 AM UTC+8","黃仁勳","https://trends.google.com/trends/explore?q=%E9%BB%83%E4%BB%81%E5%8B%B3&geo=TW&hl=en-US"
"拿坡里","20K+","November 5, 2025 at 8:30:00 PM UTC+8","November 10, 2025 at 7:00:00 PM UTC+8","拿坡里,拿波里,麥當勞,拿坡里披薩,麥當勞優惠,拿坡里 199,拿坡里優惠,麥當勞買一送一,摩斯漢堡","https://trends.google.com/trends/explore?q=%E6%8B%BF%E5%9D%A1%E9%87%8C&geo=TW&hl=en-US"
"田中馬拉松","10K+","November 7, 2025 at 7:20:00 PM UTC+8","November 11, 2025 at 9:40:00 AM UTC+8","田中馬拉松,任賢齊","https://trends.google.com/trends/explore?q=%E7%94%B0%E4%B8%AD%E9%A6%AC%E6%8B%89%E6%9D%BE&geo=TW&hl=en-US"
"cwa","5K+","November 10, 2025 at 6:00:00 AM UTC+8","November 11, 2025 at 8:30:00 PM UTC+8","cwa","https://trends.google.com/trends/explore?q=cwa&geo=TW&hl=en-US"
"南門市場","50K+","November 5, 2025 at 10:00:00 PM UTC+8","November 8, 2025 at 1:10:00 PM UTC+8","南門市場,南門市場火災,桃園南門市場,桃園南門市場火災,桃園火災,南門市場大火,南門市場桃園,桃園南門市場大火,桃園,桃園失火,桃園 火災,南門市場 火災,南門市場失火,桃園區文化街,桃園 南門市場","https://trends.google.com/trends/explore?q=%E5%8D%97%E9%96%80%E5%B8%82%E5%A0%B4&geo=TW&hl=en-US"
"獨行俠 對 公鹿","2K+","November 11, 2025 at 9:20:00 AM UTC+8","November 11, 2025 at 4:40:00 PM UTC+8","獨行俠 對 公鹿","https://trends.google.com/trends/explore?q=%E7%8D%A8%E8%A1%8C%E4%BF%A0%20%E5%B0%8D%20%E5%85%AC%E9%B9%BF&geo=TW&hl=en-US"
"勇士 對 溜馬","10K+","November 10, 2025 at 9:10:00 AM UTC+8","November 10, 2025 at 8:20:00 PM UTC+8","勇士 對 溜馬,艾爾·霍福德","https://trends.google.com/trends/explore?q=%E5%8B%87%E5%A3%AB%20%E5%B0%8D%20%E6%BA%9C%E9%A6%AC&geo=TW&hl=en-US"
"roblox","5K+","November 11, 2025 at 2:20:00 AM UTC+8","November 11, 2025 at 2:40:00 PM UTC+8","roblox","https://trends.google.com/trends/explore?q=roblox&geo=TW&hl=en-US"
"郭台銘","20K+","November 6, 2025 at 1:20:00 PM UTC+8","November 10, 2025 at 4:20:00 AM UTC+8","郭台銘,曾馨瑩,郭台銘媽媽,郭台強,關穎,初永真,郭初永真","https://trends.google.com/trends/explore?q=%E9%83%AD%E5%8F%B0%E9%8A%98&geo=TW&hl=en-US"
"sandisk 股價","500+","November 11, 2025 at 11:00:00 PM UTC+8","November 12, 2025 at 2:00:00 AM UTC+8","sandisk 股價","https://trends.google.com/trends/explore?q=sandisk%20%E8%82%A1%E5%83%B9&geo=TW&hl=en-US"
"四喜","2K+","November 8, 2025 at 9:20:00 AM UTC+8","November 12, 2025 at 2:20:00 AM UTC+8","四喜","https://trends.google.com/trends/explore?q=%E5%9B%9B%E5%96%9C&geo=TW&hl=en-US"
"洪嘉仁","2K+","November 10, 2025 at 5:00:00 PM UTC+8","November 11, 2025 at 3:20:00 PM UTC+8","洪嘉仁","https://trends.google.com/trends/explore?q=%E6%B4%AA%E5%98%89%E4%BB%81&geo=TW&hl=en-US"
"小馬","1K+","November 11, 2025 at 8:50:00 AM UTC+8","November 11, 2025 at 9:40:00 PM UTC+8","小馬","https://trends.google.com/trends/explore?q=%E5%B0%8F%E9%A6%AC&geo=TW&hl=en-US"
"公牛 對 馬刺","2K+","November 11, 2025 at 8:50:00 AM UTC+8","November 11, 2025 at 2:10:00 PM UTC+8","公牛 對 馬刺","https://trends.google.com/trends/explore?q=%E5%85%AC%E7%89%9B%20%E5%B0%8D%20%E9%A6%AC%E5%88%BA&geo=TW&hl=en-US"
"皇昌","1K+","November 11, 2025 at 11:00:00 AM UTC+8","November 11, 2025 at 7:40:00 PM UTC+8","皇昌,中油","https://trends.google.com/trends/explore?q=%E7%9A%87%E6%98%8C&geo=TW&hl=en-US"
"旅展","20K+","November 7, 2025 at 8:00:00 AM UTC+8","November 9, 2025 at 4:50:00 PM UTC+8","旅展,台北旅展,國際旅展,itf台北國際旅展,台北國際旅展,旅展 2025,賴清德,虎航促銷,旅展門票,虎航,南港展覽館,旅遊展,舒華,虎航機票,itf 旅展,台灣好行,台灣高鐵","https://trends.google.com/trends/explore?q=%E6%97%85%E5%B1%95&geo=TW&hl=en-US"
"菲律賓颱風","5K+","November 9, 2025 at 9:00:00 AM UTC+8","November 10, 2025 at 7:10:00 PM UTC+8","菲律賓颱風,鳳凰颱風菲律賓,呂宋島,菲律賓颱風災情,宿霧","https://trends.google.com/trends/explore?q=%E8%8F%B2%E5%BE%8B%E8%B3%93%E9%A2%B1%E9%A2%A8&geo=TW&hl=en-US"
"doran","2K+","November 9, 2025 at 4:30:00 PM UTC+8","November 11, 2025 at 5:10:00 AM UTC+8","doran","https://trends.google.com/trends/explore?q=doran&geo=TW&hl=en-US"
"立冬習俗","20K+","November 6, 2025 at 8:10:00 AM UTC+8","November 8, 2025 at 7:50:00 AM UTC+8","立冬習俗,立冬 2025,補冬,立冬進補,立冬要吃什麼,2025立冬,立冬要拜拜嗎,補冬吃什麼,立冬天氣熱","https://trends.google.com/trends/explore?q=%E7%AB%8B%E5%86%AC%E7%BF%92%E4%BF%97&geo=TW&hl=en-US"
"熱火 對 騎士","2K+","November 11, 2025 at 8:30:00 AM UTC+8","November 11, 2025 at 2:00:00 PM UTC+8","熱火 對 騎士","https://trends.google.com/trends/explore?q=%E7%86%B1%E7%81%AB%20%E5%B0%8D%20%E9%A8%8E%E5%A3%AB&geo=TW&hl=en-US"
"crwv","200+","November 11, 2025 at 10:50:00 PM UTC+8","November 12, 2025 at 1:10:00 AM UTC+8","crwv","https://trends.google.com/trends/explore?q=crwv&geo=TW&hl=en-US"
"郭富城","5K+","November 7, 2025 at 7:30:00 PM UTC+8","November 10, 2025 at 8:20:00 AM UTC+8","郭富城,郭富城高雄演唱會,高雄演唱會","https://trends.google.com/trends/explore?q=%E9%83%AD%E5%AF%8C%E5%9F%8E&geo=TW&hl=en-US"
"雙11優惠2025","1K+","November 10, 2025 at 11:20:00 PM UTC+8","November 11, 2025 at 7:00:00 PM UTC+8","雙11優惠2025,雙11機票","https://trends.google.com/trends/explore?q=%E9%9B%9911%E5%84%AA%E6%83%A02025&geo=TW&hl=en-US"
"科學怪人","5K+","November 7, 2025 at 8:30:00 PM UTC+8","November 10, 2025 at 5:50:00 AM UTC+8","科學怪人","https://trends.google.com/trends/explore?q=%E7%A7%91%E5%AD%B8%E6%80%AA%E4%BA%BA&geo=TW&hl=en-US"
"安歆澐","5K+","November 8, 2025 at 11:30:00 AM UTC+8","November 10, 2025 at 8:50:00 AM UTC+8","安歆澐,莊英杰","https://trends.google.com/trends/explore?q=%E5%AE%89%E6%AD%86%E6%BE%90&geo=TW&hl=en-US"
"t1 vs kt","10K+","November 8, 2025 at 3:40:00 AM UTC+8","November 10, 2025 at 1:50:00 AM UTC+8","t1 vs kt,kt vs t1,kt lol,t1 kt,worlds 2025,lol kt,kt rolster,lol t1","https://trends.google.com/trends/explore?q=t1%20vs%20kt&geo=TW&hl=en-US"
"旺矽","1K+","November 11, 2025 at 9:30:00 AM UTC+8","November 12, 2025 at 1:00:00 AM UTC+8","旺矽,6223","https://trends.google.com/trends/explore?q=%E6%97%BA%E7%9F%BD&geo=TW&hl=en-US"
"林口","2K+","November 10, 2025 at 8:10:00 PM UTC+8","November 11, 2025 at 3:30:00 PM UTC+8","林口","https://trends.google.com/trends/explore?q=%E6%9E%97%E5%8F%A3&geo=TW&hl=en-US"
"彰化縣長","500+","November 11, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 9:40:00 PM UTC+8","彰化縣長","https://trends.google.com/trends/explore?q=%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%95%B7&geo=TW&hl=en-US"
"亞洲職棒交流賽","10K+","November 7, 2025 at 5:00:00 PM UTC+8","November 9, 2025 at 8:50:00 PM UTC+8","亞洲職棒交流賽,宋家豪,桃園亞洲職棒交流賽,kt巫師,樂天交流賽,蕭齊,張趙紘,陽柏翔,亞洲職棒交流賽轉播,交流賽","https://trends.google.com/trends/explore?q=%E4%BA%9E%E6%B4%B2%E8%81%B7%E6%A3%92%E4%BA%A4%E6%B5%81%E8%B3%BD&geo=TW&hl=en-US"
"月亮","20K+","November 5, 2025 at 5:20:00 PM UTC+8","November 7, 2025 at 10:40:00 PM UTC+8","月亮,超級月亮,滿月,海狸月,超級滿月,今天月亮,大月亮,超級月亮2025","https://trends.google.com/trends/explore?q=%E6%9C%88%E4%BA%AE&geo=TW&hl=en-US"
"日本地震","5K+","November 9, 2025 at 4:00:00 PM UTC+8","November 10, 2025 at 7:00:00 PM UTC+8","日本地震,震央,日本 地震,氣象廳","https://trends.google.com/trends/explore?q=%E6%97%A5%E6%9C%AC%E5%9C%B0%E9%9C%87&geo=TW&hl=en-US"
"沈伯洋","5K+","November 9, 2025 at 12:50:00 PM UTC+8","November 10, 2025 at 1:40:00 PM UTC+8","沈伯洋,沈伯洋爭議","https://trends.google.com/trends/explore?q=%E6%B2%88%E4%BC%AF%E6%B4%8B&geo=TW&hl=en-US"
"新竹縣政府","1K+","November 11, 2025 at 7:00:00 PM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","新竹縣政府,鈺創","https://trends.google.com/trends/explore?q=%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"嘉義市長","500+","November 11, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 10:00:00 PM UTC+8","嘉義市長","https://trends.google.com/trends/explore?q=%E5%98%89%E7%BE%A9%E5%B8%82%E9%95%B7&geo=TW&hl=en-US"
"美光","200+","November 11, 2025 at 11:50:00 PM UTC+8","November 12, 2025 at 12:50:00 AM UTC+8","美光","https://trends.google.com/trends/explore?q=%E7%BE%8E%E5%85%89&geo=TW&hl=en-US"
"爵士 對 灰狼","1K+","November 11, 2025 at 10:00:00 AM UTC+8","November 11, 2025 at 2:30:00 PM UTC+8","爵士 對 灰狼","https://trends.google.com/trends/explore?q=%E7%88%B5%E5%A3%AB%20%E5%B0%8D%20%E7%81%B0%E7%8B%BC&geo=TW&hl=en-US"
"崔俊赫","5K+","November 7, 2025 at 6:30:00 PM UTC+8","November 10, 2025 at 9:00:00 AM UTC+8","崔俊赫,全智賢老公,全智賢","https://trends.google.com/trends/explore?q=%E5%B4%94%E4%BF%8A%E8%B5%AB&geo=TW&hl=en-US"
"資生堂","1K+","November 11, 2025 at 12:10:00 AM UTC+8","November 11, 2025 at 10:50:00 PM UTC+8","資生堂","https://trends.google.com/trends/explore?q=%E8%B3%87%E7%94%9F%E5%A0%82&geo=TW&hl=en-US"
"太陽 對 鵜鶘","1K+","November 11, 2025 at 10:10:00 AM UTC+8","November 11, 2025 at 2:50:00 PM UTC+8","太陽 對 鵜鶘","https://trends.google.com/trends/explore?q=%E5%A4%AA%E9%99%BD%20%E5%B0%8D%20%E9%B5%9C%E9%B6%98&geo=TW&hl=en-US"
"楊文科","500+","November 11, 2025 at 7:10:00 PM UTC+8","November 11, 2025 at 10:00:00 PM UTC+8","楊文科","https://trends.google.com/trends/explore?q=%E6%A5%8A%E6%96%87%E7%A7%91&geo=TW&hl=en-US"
"石崇良","5K+","November 6, 2025 at 1:40:00 PM UTC+8","November 8, 2025 at 9:10:00 PM UTC+8","石崇良","https://trends.google.com/trends/explore?q=%E7%9F%B3%E5%B4%87%E8%89%AF&geo=TW&hl=en-US"
"顏正國","10K+","November 8, 2025 at 11:30:00 AM UTC+8","November 9, 2025 at 11:00:00 AM UTC+8","顏正國,顏正國告別式,黃尚禾,鋼鐵爸","https://trends.google.com/trends/explore?q=%E9%A1%8F%E6%AD%A3%E5%9C%8B&geo=TW&hl=en-US"
"trip.com 雙11","1K+","November 11, 2025 at 11:00:00 AM UTC+8","November 12, 2025 at 12:40:00 AM UTC+8","trip.com 雙11,trip.com 機票,11元機票","https://trends.google.com/trends/explore?q=trip.com%20%E9%9B%9911&geo=TW&hl=en-US"
"sandisk","1K+","November 10, 2025 at 10:50:00 PM UTC+8","November 12, 2025 at 1:20:00 AM UTC+8","sandisk,sndk","https://trends.google.com/trends/explore?q=sandisk&geo=TW&hl=en-US"
"華東","5K+","November 11, 2025 at 9:10:00 AM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","華東,8110,華東股價","https://trends.google.com/trends/explore?q=%E8%8F%AF%E6%9D%B1&geo=TW&hl=en-US"
"許淑華","200+","November 11, 2025 at 8:50:00 PM UTC+8","November 11, 2025 at 11:00:00 PM UTC+8","許淑華","https://trends.google.com/trends/explore?q=%E8%A8%B1%E6%B7%91%E8%8F%AF&geo=TW&hl=en-US"
"朱孝天","2K+","November 9, 2025 at 2:50:00 PM UTC+8","November 11, 2025 at 1:30:00 PM UTC+8","朱孝天,相信音樂","https://trends.google.com/trends/explore?q=%E6%9C%B1%E5%AD%9D%E5%A4%A9&geo=TW&hl=en-US"
"新社花海","5K+","November 7, 2025 at 9:40:00 PM UTC+8","November 10, 2025 at 11:50:00 AM UTC+8","新社花海,台中花毯節,花毯節,11/8活動","https://trends.google.com/trends/explore?q=%E6%96%B0%E7%A4%BE%E8%8A%B1%E6%B5%B7&geo=TW&hl=en-US"
"周思齊","10K+","November 5, 2025 at 7:40:00 AM UTC+8","November 8, 2025 at 2:30:00 AM UTC+8","周思齊,上海兄弟象,中國職棒,上海兄弟棒球隊,中信育樂,蔡其昌,兄弟象","https://trends.google.com/trends/explore?q=%E5%91%A8%E6%80%9D%E9%BD%8A&geo=TW&hl=en-US"
"台风","1K+","November 10, 2025 at 7:10:00 AM UTC+8","November 12, 2025 at 2:10:00 AM UTC+8","台风","https://trends.google.com/trends/explore?q=%E5%8F%B0%E9%A3%8E&geo=TW&hl=en-US"
"神盾 carplay","1K+","November 10, 2025 at 7:10:00 AM UTC+8","November 11, 2025 at 7:00:00 PM UTC+8","神盾 carplay","https://trends.google.com/trends/explore?q=%E7%A5%9E%E7%9B%BE%20carplay&geo=TW&hl=en-US"
"uzi","2K+","November 9, 2025 at 8:20:00 PM UTC+8","November 10, 2025 at 2:00:00 PM UTC+8","uzi","https://trends.google.com/trends/explore?q=uzi&geo=TW&hl=en-US"
"豬肉解禁","5K+","November 5, 2025 at 1:30:00 PM UTC+8","November 9, 2025 at 10:00:00 AM UTC+8","豬肉解禁,豬肉解封","https://trends.google.com/trends/explore?q=%E8%B1%AC%E8%82%89%E8%A7%A3%E7%A6%81&geo=TW&hl=en-US"
"嘉義縣長","500+","November 11, 2025 at 7:40:00 PM UTC+8","November 11, 2025 at 9:20:00 PM UTC+8","嘉義縣長,台南市長","https://trends.google.com/trends/explore?q=%E5%98%89%E7%BE%A9%E7%B8%A3%E9%95%B7&geo=TW&hl=en-US"
"大江購物中心","1K+","November 11, 2025 at 8:20:00 AM UTC+8","November 11, 2025 at 1:50:00 PM UTC+8","大江購物中心","https://trends.google.com/trends/explore?q=%E5%A4%A7%E6%B1%9F%E8%B3%BC%E7%89%A9%E4%B8%AD%E5%BF%83&geo=TW&hl=en-US"
"苗栗縣政府","500+","November 11, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","苗栗縣政府","https://trends.google.com/trends/explore?q=%E8%8B%97%E6%A0%97%E7%B8%A3%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"新竹市政府","500+","November 10, 2025 at 8:20:00 PM UTC+8","November 11, 2025 at 10:10:00 PM UTC+8","新竹市政府","https://trends.google.com/trends/explore?q=%E6%96%B0%E7%AB%B9%E5%B8%82%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"頑童演唱會","5K+","November 7, 2025 at 8:50:00 PM UTC+8","November 9, 2025 at 2:20:00 PM UTC+8","頑童演唱會","https://trends.google.com/trends/explore?q=%E9%A0%91%E7%AB%A5%E6%BC%94%E5%94%B1%E6%9C%83&geo=TW&hl=en-US"
"館長","1K+","November 12, 2025 at 1:00:00 AM UTC+8","November 12, 2025 at 2:20:00 AM UTC+8","館長,陳柏惟","https://trends.google.com/trends/explore?q=%E9%A4%A8%E9%95%B7&geo=TW&hl=en-US"
"今森茉耶","2K+","November 8, 2025 at 1:50:00 PM UTC+8","November 10, 2025 at 9:10:00 AM UTC+8","今森茉耶","https://trends.google.com/trends/explore?q=%E4%BB%8A%E6%A3%AE%E8%8C%89%E8%80%B6&geo=TW&hl=en-US"
"大濛","5K+","November 5, 2025 at 6:20:00 PM UTC+8","November 9, 2025 at 10:10:00 PM UTC+8","大濛,柯煒林","https://trends.google.com/trends/explore?q=%E5%A4%A7%E6%BF%9B&geo=TW&hl=en-US"
"楓之谷放置冒險記","2K+","November 6, 2025 at 11:30:00 AM UTC+8","November 10, 2025 at 5:50:00 AM UTC+8","楓之谷放置冒險記,楓之谷放置冒險記禮包碼","https://trends.google.com/trends/explore?q=%E6%A5%93%E4%B9%8B%E8%B0%B7%E6%94%BE%E7%BD%AE%E5%86%92%E9%9A%AA%E8%A8%98&geo=TW&hl=en-US"
"宮美樂","1K+","November 10, 2025 at 4:20:00 PM UTC+8","November 11, 2025 at 1:30:00 PM UTC+8","宮美樂,王瞳","https://trends.google.com/trends/explore?q=%E5%AE%AE%E7%BE%8E%E6%A8%82&geo=TW&hl=en-US"
"冬至","10K+","November 6, 2025 at 12:20:00 PM UTC+8","November 8, 2025 at 2:10:00 AM UTC+8","冬至","https://trends.google.com/trends/explore?q=%E5%86%AC%E8%87%B3&geo=TW&hl=en-US"
"金塊 對 溜馬","20K+","November 9, 2025 at 9:50:00 AM UTC+8","November 9, 2025 at 5:40:00 PM UTC+8","金塊 對 溜馬,勇士 對 太陽,國王 對 勇士,勇士對太陽,吉米·巴特勒","https://trends.google.com/trends/explore?q=%E9%87%91%E5%A1%8A%20%E5%B0%8D%20%E6%BA%9C%E9%A6%AC&geo=TW&hl=en-US"
"蝦皮當機","500+","November 11, 2025 at 2:00:00 AM UTC+8","November 11, 2025 at 12:30:00 PM UTC+8","蝦皮當機","https://trends.google.com/trends/explore?q=%E8%9D%A6%E7%9A%AE%E7%95%B6%E6%A9%9F&geo=TW&hl=en-US"
"金塊 對 勇士","10K+","November 8, 2025 at 10:40:00 AM UTC+8","November 8, 2025 at 9:50:00 PM UTC+8","金塊 對 勇士,尼古拉·約基奇,金州勇士","https://trends.google.com/trends/explore?q=%E9%87%91%E5%A1%8A%20%E5%B0%8D%20%E5%8B%87%E5%A3%AB&geo=TW&hl=en-US"
"新聞","2K+","November 10, 2025 at 8:10:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","新聞","https://trends.google.com/trends/explore?q=%E6%96%B0%E8%81%9E&geo=TW&hl=en-US"
"劉俊豪","1K+","November 10, 2025 at 6:50:00 PM UTC+8","November 11, 2025 at 10:50:00 AM UTC+8","劉俊豪,世越銀行","https://trends.google.com/trends/explore?q=%E5%8A%89%E4%BF%8A%E8%B1%AA&geo=TW&hl=en-US"
"台北市政府","500+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","台北市政府","https://trends.google.com/trends/explore?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"台玻","1K+","November 11, 2025 at 10:20:00 AM UTC+8","November 11, 2025 at 2:30:00 PM UTC+8","台玻","https://trends.google.com/trends/explore?q=%E5%8F%B0%E7%8E%BB&geo=TW&hl=en-US"
"老鷹 對 湖人","5K+","November 9, 2025 at 8:50:00 AM UTC+8","November 9, 2025 at 7:00:00 PM UTC+8","老鷹 對 湖人,湖人,nba 線上看","https://trends.google.com/trends/explore?q=%E8%80%81%E9%B7%B9%20%E5%B0%8D%20%E6%B9%96%E4%BA%BA&geo=TW&hl=en-US"
"魔術 對 拓荒者","2K+","November 11, 2025 at 8:20:00 AM UTC+8","November 11, 2025 at 1:40:00 PM UTC+8","魔術 對 拓荒者,魔術 對 塞爾提克","https://trends.google.com/trends/explore?q=%E9%AD%94%E8%A1%93%20%E5%B0%8D%20%E6%8B%93%E8%8D%92%E8%80%85&geo=TW&hl=en-US"
"國王 對 灰狼","2K+","November 10, 2025 at 9:50:00 AM UTC+8","November 10, 2025 at 6:20:00 PM UTC+8","國王 對 灰狼","https://trends.google.com/trends/explore?q=%E5%9C%8B%E7%8E%8B%20%E5%B0%8D%20%E7%81%B0%E7%8B%BC&geo=TW&hl=en-US"
"基隆","1K+","November 10, 2025 at 8:00:00 PM UTC+8","November 12, 2025 at 1:00:00 AM UTC+8","基隆","https://trends.google.com/trends/explore?q=%E5%9F%BA%E9%9A%86&geo=TW&hl=en-US"
"縱火","10K+","November 6, 2025 at 2:10:00 AM UTC+8","November 7, 2025 at 2:30:00 AM UTC+8","縱火","https://trends.google.com/trends/explore?q=%E7%B8%B1%E7%81%AB&geo=TW&hl=en-US"
"追覓","1K+","November 11, 2025 at 12:10:00 AM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","追覓","https://trends.google.com/trends/explore?q=%E8%BF%BD%E8%A6%93&geo=TW&hl=en-US"
"謝國樑","1K+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","謝國樑,基隆市長,台東縣政府","https://trends.google.com/trends/explore?q=%E8%AC%9D%E5%9C%8B%E6%A8%91&geo=TW&hl=en-US"
"txt","5K+","November 8, 2025 at 11:40:00 AM UTC+8","November 9, 2025 at 5:30:00 AM UTC+8","txt","https://trends.google.com/trends/explore?q=txt&geo=TW&hl=en-US"
"阿達","10K+","November 5, 2025 at 2:20:00 PM UTC+8","November 6, 2025 at 9:40:00 PM UTC+8","阿達,阿達閃兵,昌璟翔","https://trends.google.com/trends/explore?q=%E9%98%BF%E9%81%94&geo=TW&hl=en-US"
"活塞 對 巫師","2K+","November 11, 2025 at 9:00:00 AM UTC+8","November 11, 2025 at 1:10:00 PM UTC+8","活塞 對 巫師,76人 對 活塞,籃網 對 活塞","https://trends.google.com/trends/explore?q=%E6%B4%BB%E5%A1%9E%20%E5%B0%8D%20%E5%B7%AB%E5%B8%AB&geo=TW&hl=en-US"
"honduras u-17 vs indonesia u-17","500+","November 10, 2025 at 10:10:00 PM UTC+8","November 11, 2025 at 8:30:00 AM UTC+8","honduras u-17 vs indonesia u-17","https://trends.google.com/trends/explore?q=honduras%20u-17%20vs%20indonesia%20u-17&geo=TW&hl=en-US"
"敏實集團","2K+","November 6, 2025 at 1:30:00 PM UTC+8","November 9, 2025 at 11:30:00 AM UTC+8","敏實集團","https://trends.google.com/trends/explore?q=%E6%95%8F%E5%AF%A6%E9%9B%86%E5%9C%98&geo=TW&hl=en-US"
"鍾東錦","200+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:20:00 PM UTC+8","鍾東錦","https://trends.google.com/trends/explore?q=%E9%8D%BE%E6%9D%B1%E9%8C%A6&geo=TW&hl=en-US"
"關詠荷","200+","November 11, 2025 at 7:00:00 PM UTC+8","November 11, 2025 at 9:00:00 PM UTC+8","關詠荷","https://trends.google.com/trends/explore?q=%E9%97%9C%E8%A9%A0%E8%8D%B7&geo=TW&hl=en-US"
"阿本","500+","November 11, 2025 at 9:20:00 AM UTC+8","November 12, 2025 at 2:00:00 AM UTC+8","阿本","https://trends.google.com/trends/explore?q=%E9%98%BF%E6%9C%AC&geo=TW&hl=en-US"
"灰熊 對 雷霆","2K+","November 10, 2025 at 7:00:00 AM UTC+8","November 10, 2025 at 1:50:00 PM UTC+8","灰熊 對 雷霆,以賽亞·喬","https://trends.google.com/trends/explore?q=%E7%81%B0%E7%86%8A%20%E5%B0%8D%20%E9%9B%B7%E9%9C%86&geo=TW&hl=en-US"
"南亞","1K+","November 11, 2025 at 9:20:00 AM UTC+8","November 11, 2025 at 1:30:00 PM UTC+8","南亞,台塑","https://trends.google.com/trends/explore?q=%E5%8D%97%E4%BA%9E&geo=TW&hl=en-US"
"李珠珢","500+","November 11, 2025 at 8:10:00 AM UTC+8","November 11, 2025 at 3:40:00 PM UTC+8","李珠珢","https://trends.google.com/trends/explore?q=%E6%9D%8E%E7%8F%A0%E7%8F%A2&geo=TW&hl=en-US"
"pinkoi 瘋設祭","2K+","November 8, 2025 at 9:30:00 AM UTC+8","November 9, 2025 at 5:30:00 PM UTC+8","pinkoi 瘋設祭,pinkoi 市集","https://trends.google.com/trends/explore?q=pinkoi%20%E7%98%8B%E8%A8%AD%E7%A5%AD&geo=TW&hl=en-US"
